date,connect_code,rank,rating,wins,losses
2023-10-30 11:10:49.766028,WITH#0,Bronze 3,933.34,11,19
2023-10-30 11:10:50.275480,MATC#818,Silver 1,1100.00,0,0
2023-10-30 11:10:50.765995,ITSU#117,Bronze 1,699.83,5,21
2023-10-30 11:10:51.258550,HDHI#520,Bronze 3,1043.15,10,18
2023-10-30 11:10:51.813501,WALK#109,Bronze 2,878.85,8,24
2023-10-30 11:10:52.631900,BEAN#570,Bronze 1,701.29,7,30
2023-10-30 11:10:53.143819,DIRT#788,Silver 1,1100.00,0,0
2023-10-30 11:10:53.758224,SILY#141,Bronze 1,730.83,19,47
2023-10-30 11:10:54.234726,MRBL#460,Silver 1,1100.00,0,0
2023-10-30 11:10:54.987007,STEV#616,Silver 1,1100.00,0,0
2023-10-30 11:10:55.601647,DRDE#294,Silver 1,1100.00,0,0
2023-10-30 11:10:56.092959,DAR#745,Bronze 3,1047.60,18,25
2023-10-30 11:10:56.625742,ROSE#560,Silver 1,1100.00,0,0
2023-10-30 11:10:56.977296,WITH#283,,,,
2023-10-30 11:10:57.546999,BIGS#344,Silver 1,1100.00,0,0
2023-10-30 11:10:58.161715,SPAC#800,Silver 1,1100.00,0,0
2023-10-30 11:10:58.878405,LSDB#137,Silver 1,1100.00,0,0
2023-10-30 11:10:59.404228,TEEZ#489,Bronze 1,760.09,1,9
2023-10-30 11:10:59.979825,MAJ#265,Bronze 3,1018.36,27,48
2023-10-30 11:11:00.516859,DRTI#233,Silver 1,1100.00,0,0
2023-10-30 11:11:01.131259,BDJ#648,Silver 1,1100.00,0,0
2023-10-30 11:11:01.848064,DD#631,Bronze 3,950.95,17,39
2023-10-30 11:11:02.358620,MRPH#723,Silver 1,1100.00,0,0
2023-10-30 11:11:02.974537,LORD#211,Gold 1,1438.21,54,55
2023-10-30 11:11:03.793619,NIBA#498,Silver 1,1100.00,0,0
2023-10-30 11:11:04.405008,ROCK#446,Silver 1,1100.00,0,0
2023-10-30 11:11:05.227452,BLIN#131,Silver 1,1100.00,0,0
2023-10-30 11:11:05.739415,KAPP#698,Silver 1,1100.00,0,0
2023-10-30 11:11:06.313600,HOT#949,Silver 1,1065.82,36,58
2023-10-30 11:11:06.968125,PP#809,Silver 1,1100.00,0,0
2023-10-30 11:11:07.582752,SOYF#283,Bronze 3,1018.95,0,2
2023-10-30 11:11:08.094676,KGAN#307,Silver 1,1100.00,0,0
2023-10-30 11:11:08.709132,GLAC#225,Silver 1,1100.00,0,0
2023-10-30 11:11:09.224460,CRIT#438,Gold 2,1551.52,268,251
2023-10-30 11:11:09.937998,ACAC#920,Bronze 3,1043.51,0,1
2023-10-30 11:11:10.449954,SLIP#279,Silver 1,1100.00,0,0
2023-10-30 11:11:10.946531,MNKY#558,Silver 1,1100.00,0,0
2023-10-30 11:11:11.481720,OFFL#948,Bronze 2,863.14,2,7
2023-10-30 11:11:12.394901,JACK#315,Silver 1,1100.00,0,0
2023-10-30 11:11:12.935226,EFCT#565,Silver 1,1100.00,0,0
2023-10-30 11:11:13.624451,ABC#605,Silver 2,1201.08,4,6
2023-10-30 11:11:14.136429,TGFA#176,Silver 2,1274.02,37,39
2023-10-30 11:11:14.731892,FP#272,Silver 1,1100.00,0,0
2023-10-30 11:11:15.389476,TEX#628,Silver 1,1100.00,0,0
